Species_name,MGRS_10X10
Narcissus pseudonarcissus,30SUJ42
Doronicum plantagineum,30TTK54
Phyla nodiflora,29SPD70
Helianthemum salicifolium,29SQC18
Ranunculus hederaceus,29SQD44
Romulea bulbocodium,29TPE85
Quercus canariensis,29SPC94
Asphodelus fistulosus,29SPD70
Hypericum undulatum,29SQC31
Diplotaxis catholica,29SQD00
Pistacia terebinthus,29SPC94
Quercus phellos,30TTK94
Stellaria media,29SPC66
Salix caprea,29TPE26
Quercus faginea,30STF95
Thapsia villosa,29SQC36
Carex pendula,30TTK74
Bromus hordeaceus,29SQC35
Centaurea pullata,29SPC93
Juncus bufonius,30STJ83
Portulaca oleracea,29SQC39
Typha domingensis,29SQD41
Rosa sempervirens,29SQC57
Digitaria sanguinalis,29SQD00
Quercus texana,30TTK94
Crepis vesicaria,29SQD31
Scrophularia scorodonia,30SVF78
Prunella vulgaris,29TQE16
Calendula arvensis,29SQD31
Quercus montana,30TTK94
Quercus lusitanica,30STE79
Quercus petraea,30TTK94
Quercus pubescens,30TWM39
Quercus canariensis,30STF74
Ophrys speculum,29SNB90
Phillyrea angustifolia,29SQD03
Rubia tinctorum,30TYN10
Bituminaria bituminosa,29SQC06
Valerianella carinata,30TTK53
Gagea elliptica,29SQC14
Veronica polita,29SPD70
Genista polyanthos,29SPC72
Quercus faginea,30TVM86
Eragrostis virescens,29SPB51
Quercus infectoria,29SNB36
Jacobaea vulgaris,29SQC06
Quercus faginea,29SPC94
Teucrium fruticans,29SQC60
Spergularia rubra,29TPE85
Corrigiola litoralis,29SPD70
Oeosporangium pteridioides,29SPC97
Pulicaria paludosa,29SQC14
Viola kitaibeliana,29TPE85
Senecio vulgaris,29SQC16
Allium sativum,29SQD00
Ortegia hispanica,30TTK53
Arundo donax,29SQD00
Thalictrum minus,30TTK76
Rostraria cristata,29SQC44
Anacamptis morio,30TTK76
Potamogeton crispus,29SPC45
Paeonia broteri,30STJ86
Anthoxanthum aristatum,30STJ76
Stipa gigantea,30TTK79
Galactites tomentosa,29SPD58
Galium saxatile,30TTK66
Quercus robur,29SMC69
Helichrysum stoechas,29SNB28
Stipellula capensis,29SQB56
Aphanes microcarpa,29SQC15
Senecio gallicus,29SQC31
Gagea lusitanica,29SQC49
Quercus lyrata,30TTK94
Typhrasa gossypina,29SPC72
Quercus ilex,29SPD70
Myrica gale,29TNE39
Echinospartum ibericum,29TPE85
Centaurea avilae,30TTK66
Ranunculus pseudomillefoliatus,30STJ76
Poa trivialis,30STJ76
Ruscus aculeatus,30STJ76
Veronica serpyllifolia,30TTK75
Veronica serpyllifolia,30TTK75
Melilotus officinalis,29SQD00
Polygala monspeliaca,29SQC43
Gagea lusitanica,29SQC06
Ranunculus peltatus,29SQC40
Fragaria vesca,30TVK13
Narcissus jonquilla,30STJ49
Erica australis,29SQD03
Myosotis persoonii,30TTK94
Quercus shumardii,30TTK94
Centaurea cordubensis,29SQC43
Quercus pubescens,31TCG56
Dysphania multifida,29SQC04
Quercus palustris,30TTK94
Potamogeton nodosus,29SPD70
Puccinellia fasciculata,29SPB82
Bupleurum falcatum,29TQE16
Cynodon dactylon,29SPD50
Quercus faginea,30SUG93
Osyris alba,29SPC93
Citrullus lanatus,29SQD00
Euphorbia peplus,30STH57
Quercus faginea,30SWJ89
Lonicera implexa,29SQC15
Papaver dubium,29SQC31
Mercurialis annua,29SQC04
Carex oederi,26SLH75
Lolium perenne,30TWL92
Dactylis glomerata,30TTK66
Halimium halimifolium,29TQE16
Cistus monspeliensis,29SNB90
Thymelaea salsa,29SQC25
Quercus frainetto,29SMC99
Acis autumnalis,29SQB57
Quercus coccinea,30TTK94
Quercus coccinea,30TTK94
Typha domingensis,29SQD00
Lamium amplexicaule,30TTK74
Lupinus angustifolius,30SUJ01
Briza minor,30STK60
Lycopus europaeus,30TTK76
Cryptogramma crispa,30TTK75
Puccinellia fasciculata,30TTK76
Lemna minor,30STJ62
Brachypodium distachyon,29SQC06
Hypericum perfoliatum,29SQC26
Silene vulgaris,29SQC06
Callitriche stagnalis,29SQC61
Bromus hordeaceus,30SUJ21
Ornithopus compressus,29SQC31
Carex riparia,29SQC35
Tricholoma focale,30SUJ26
Quercus petraea,30TTK94
Hyparrhenia hirta,29SQD00
Quercus robur,30TTK94
Narcissus serotinus,29SPD81
Quercus pubescens,31TDG72
Vitis vinifera,29SPC96
Galium broterianum,29TQE48
Abutilon hybridum,29TNE39
Lonicera japonica,29SQB11
Retama sphaerocarpa,29SPC88
Mentha aquatica,29TNE49
Ranunculus peltatus,30STJ86
Euphorbia chamaesyce,29SNC23
Agrostis castellana,29SPC98
Leopoldia comosa,30STK60
Phalaris coerulescens,29SQD11
Philadelphus coronarius,29TQE27
Quercus faginea,30TWM66
Serapias strictiflora,29SPD70
Stachys arvensis,29SPC66
Agrostis tenerrima,29TQE38
Gagea lusitanica,29SPD36
Aristolochia baetica,30SUF76
Hypochaeris glabra,29SPD80
Stachys arvensis,29SPC94
Hedera helix,29SNC96
Verbascum pulverulentum,30TTK65
Bellis annua,29SNB01
Matthiola fruticulosa,30TUK49
Cytisus striatus,30TTK66
Draba verna,29SQC14
Alopecurus arundinaceus,30TTK75
Sonchus oleraceus,29SQC45
Stipa juncea,30STF87
Persicaria minor,29SQC34
Typha domingensis,29SQD00
Marrubium vulgare,29SPD70
Crepis capillaris,30TTK76
Silene portensis,29SPC94
Hypericum undulatum,30TTK66
Quercus robur,30TTK63
Trifolium angustifolium,29SQC15
Trifolium cherleri,31TDF39
Carex otrubae,30STH40
Quercus faginea,29SNB83
Silene colorata,29SPC78
Quercus lusitanica,29SNB73
Quercus faginea,29SMD93
Spergula arvensis,29SPC94
Quercus shumardii,30TTK94
Convolvulus arvensis,29SQD11
Glebionis coronaria,29SQC18
Quercus macrocarpa,30TTK94
Erodium cicutarium,29SQC36
Saponaria officinalis,29TQH35
Quercus faginea,29SPC94
Teucrium scorodonia,29TNJ40
Cistus crispus,29SQC09
Quercus canariensis,30STF62
Centaurea alba,30TTK65
Inonotus hispidus,29SPC95
Tanacetum parthenium,30TTK76
Bupleurum fruticosum,29SNB43
Typha domingensis,29SQD00
Vitis gmelinii,29SQC04
Epilobium brachycarpum,29SPC75
Setaria italica,29SQD00
Choiromyces meandriformis,29SPC72
Linaria amethystea,29SQC21
Fumaria reuteri,29SPD70
Fumaria agraria,29SPC87
Erodium cicutarium,29SPD70
Thymus mastichina,30STJ98
Euphorbia helioscopia,29SQC16
Mercurialis annua,30SUJ01
Hordeum marinum,29SPC98
Taraxacum malato-belizii,30TTK66
Nasturtium officinale,29SPD70
Carex pendula,29SPD28
Juniperus phoenicea,30SWG19
Dactylis glomerata,30STJ86
Crepis foetida,30STJ57
Leontodon longirostris,29TNE28
Ruscus aculeatus,29SQB11
Quercus texana,30TTK94
Viburnum rhytidophyllum,29SQC35
Quercus faginea,29SPC94
Dianthus pungens,30TTK75
Pulicaria odora,29SPC84
Erica arborea,30SUJ13
Origanum compactum,29SPC94
Quercus falcata,30TTK94
Narcissus bulbocodium,30STJ98
Rumex bucephalophorus,30TTK43
Quercus bicolor,30TTK94
Spartium junceum,29SPD70
Rumex bucephalophorus,29SPD80
Alisma plantago-aquatica,29SPD73
Anthyllis vulneraria,29SQC15
Rumex acetosa,30TTP62
Bituminaria bituminosa,29SQC15
Diplotaxis catholica,30STH43
Leopoldia comosa,30SVH54
Linum bienne,30STJ57
Arisarum simorrhinum,29SMC59
Chondrilla juncea,30TTK66
Ammannia coccinea,29SPD91
Vaccinium uliginosum,31TCH32
Launaea arborescens,30SVF96
Carex echinata,31TCH32
Quercus faginea,29SPC94
Koenigia alpina,30TTK66
Serapias strictiflora,29SPD70
Astragalus cicer,29SQC02
Cistus salviifolius,30SUH98
Sinapis alba,29SPD60
Diplotaxis siifolia,29SQD27
Valerianella carinata,29SPD57
Narcissus bulbocodium,30SUH08
Jasione montana,29SPD80
Tuberaria inconspicua,30STJ60
Viola canina,30TTK56
Silene gallica,29SQC06
Calepina irregularis,30STJ98
Ranunculus ollissiponensis,29SQC31
Oeosporangium pteridioides,30STH62
Veronica chamaedrys,31TCH13
Ajuga pyramidalis,31TCH32
Scutellaria galericulata,30STJ86
Trifolium fragiferum,30TTK75
Scrophularia reuteri,30TTK64
Allium sativum,29SQD00
Mentha villosa,29SQD00
Aristolochia pistolochia,29SNC55
Centaurea pullata,29SQC14
Narcissus cantabricus,30SUH98
Umbilicus rupestris,29SPD70
Vicia benghalensis,29SQC31
Avena barbata,29SPD70
Lindernia dubia,29SPD94
Quercus senneniana,30SWK81
Xanthium orientale,29SPD80
Plantago holosteum,29TQE16
Nyphar luteum,29SPD94
Epilobium brachycarpum,30STK81
Quercus faginea,30TWK77
Centranthus calcitrapae,29TPF24
Sisymbrium officinale,30TUL76
Linum narbonense,30STJ76
Vulpia myuros,30SUJ21
Galium album,30STJ98
Astragalus incanus,30TWL10
Quercus faginea,30SUF07
Narcissus pseudonarcissus,30TTK66
Quercus faginea,30STH40
Colchicum montanum,30TTK66
Reseda media,29SQC44
Raphanus raphanistrum,30STJ51
Doronicum plantagineum,30STJ98
Salvia verbenaca,29SPC98
Onobrychis humilis,30STJ50
Euphorbia dulcis,30TTP60
Quercus michauxii,30TTK94
Quercus canariensis,30STF61
Taraxacum sundbergii,30TTK64
Ophrys fusca,29SQC26
Fraxinus angustifolia,29SPC94
Avena barbata,29SPC17
Phillyrea latifolia,29SQC59
Ranunculus gregarius,30TTK56
Stachys arvensis,29SQC41
Bromus hordeaceus,29SPC98
Saxifraga granulata,29SQC21
Salvia verbenaca,30STJ51
Lavandula pedunculata,30SUH19
Cytisus multiflorus,29SQC04
Senecio vulgaris,29SQC04
Asphodelus aestivus,30STJ86
Dactylis glomerata,29SQC31
Ilex aquifolium,29TPJ61
Anchusa hybrida,29SQC36
Alchemilla ischnocarpa,31TCH13
Oenanthe crocata,30STH57
Quercus robur,30TTK64
Quercus pubescens,30TWM66
Quercus pubescens,30TWM66
Quercus faginea,30SUF16
Quercus faginea,30SUG94
Gagea algeriensis,29SQC16
Salvia rosmarinus,29SPC95
Quercus faginea,29SNB83
Leontodon tuberosus,29SQD39
Quercus shumardii,30TTK94
Quercus faginea,29SPC94
Quercus canariensis,29SNB32
Quercus infectoria,29SPC94
Quercus robur,30TTK94
Silene latifolia,29SPC62
Nigella damascena,30STF87
Dactylis glomerata,29SNB42
Linaria triornithophora,30TTK55
Astragalus glaux,29SQC43
Thymus membranaceus,30SXH00
Campanula lusitanica,30TTK95
Ophrys tenthredinifera,29SQC35
Gagea lacaitae,29SPD57
Ranunculus gramineus,30STJ70
Acacia retinodes,29SPC27
Valerianella dentata,29SPD61
Linaria spartea,30STJ82
Gagea lacaitae,29SPC87
Quercus robur,30TTK94
Quercus phellos,30TTK94
Quercus canariensis,30STF61
Quercus falcata,30TTK94
Quercus faginea,29SQC32
Clinopodium vulgare,29TQE16
Quercus pyrenaica,30TUN57
Prunus avium,30TTK76
Coronilla repanda,29SQC36
Quercus lusitanica,29SPD70
Lavandula intermedia,29SPC79
Quercus nigra,30TTK94
Scrophularia reuteri,30TTK66
Centaurea alba,30TTK66
Ampelodesmos mauritanicus,31TCF76
Gagea soleirolii,30TTK66
Quercus faginea,29SPC94
Quercus rotundifolia,29SPC94
Piptatherum coerulescens,30SUG70
Typha domingensis,29SQD00
Serapias parviflora,29SQC14
Thymelaea hirsuta,31TBE87
Salix atrocinerea,30TTK56
Quercus nigra,30TTK94
Poa trivialis,29TPE94
Daphne gnidium,29SNE32
Oeosporangium tinaei,29SQC32
Quercus faginea,29SMD80
Quercus faginea,30STF77
Quercus faginea,30TWM66
Quercus robur,29SMC79
Quercus lusitanica,29SNB42
Quercus faginea,29SMD97
Quercus faginea,30TVM59
Spergularia rubra,29TPE85
Scandix pecten-veneris,29SQC31
Leontodon tuberosus,29SPB99
Juncus hybridus,29SQD34
Poa infirma,30STH42
Raphanus raphanistrum,29SQC04
Lythrum salicaria,30TTK54
Typha domingensis,29SQD00
Quercus canariensis,29SPC94
Erica scoparia,30STJ97
Quercus faginea,30TWK98
Satureja montana,30SWG77
Clinopodium vulgare,30TTK55
Ipomoea purpurea,30TTK54
Antirrhinum grosii,30TTK75
Coronilla juncea,30STH42
Poa trivialis,30STJ86
Lonicera etrusca,29SMC95
Gastridium ventricosum,29SQC63
Dactylorhiza maculata,30TTK66
Quercus andegavensis,29TPE85
Quercus canariensis,30STE79
Teucrium fruticans,29SPC39
Schizophyllum commune,29SPC94
Mentha suaveolens,30STH86
Persicaria salicifolia,30STJ71
Amaranthus deflexus,30TTK66
Quercus senneniana,29SQC41
Heliotropium europaeum,29SQC09
Chenopodiastrum murale,29SQC11
Serapias lingua,30STJ64
Cynara cardunculus,29SNE41
Stachys arvensis,29SPD72
Teucrium fruticans,29SPC94
Ranunculus bullatus,29SPD70
Quercus pagoda,30TTK94
Polygonum arenastrum,29SNC87
Quercus canariensis,29SNC78
Quercus falcata,30TTK94
Tamarix africana,29SND71
Quercus pyrenaica,30TTK64
Helianthemum hirtum,29SQC18
Alchemilla serratisaxatilis,30TTK66
Digitalis thapsi,30TTK74
Achillea millefolium,30TTK66
Taraxacum ekmanii,29SQD27
Quercus pubescens,31TDG30
Bupleurum falcatum,29SNE32
Cistus salviifolius,30SUJ13
Medicago maritima,29SQA29
Epilobium hirsutum,30TUN08
Mercurialis annua,29SQC07
Molinia caerulea,29TPE95
Sedum anglicum,30TUK15
Calendula arvensis,29SQD00
Castanea sativa,30STF87
Quercus canariensis,30STE79
Frankenia laevis,29SMC68
Quercus canariensis,30STF61
Quercus faginea,30SUG93
Quercus canariensis,30STF74
Centaurea toletana,29SQC31
Quercus palustris,30TTK94
Cistus albidus,31SCD72
Logfia gallica,30TXN16
Mercurialis elliptica,29SQB01
Quercus pagoda,30TTK94
Gymnocarpium dryopteris,31TCH22
Quercus falcata,30TTK94
Calendula arvensis,29SQC11
Ornithogalum concinnum,29SQD16
Silene latifolia,29SQC31
Myriophyllum spicatum,30STJ71
Narcissus bulbocodium,30TTK75
Halimium lasianthum,29TQE47
Hypochaeris glabra,29TPE75
Diplotaxis catholica,29SQC21
Ficaria verna,30TTK66
Papaver pinnatifidum,30STH68
Cortinarius casimiri,29SPC72
Linum suffruticosum,30TUL81
Quercus faginea,29SNC58
Platanus orientalis,29SPD70
Ophioglossum lusitanicum,29SPC94
Quercus faginea,30STF85
Lotus glareosus,30TTK55
Helichrysum luteoalbum,29SQD16
Armeria linkiana,29SQC31
Quercus canariensis,30STF74
Periballia minuta,29SPD80
Micromeria graeca,29SQC06
Digitaria sanguinalis,30TTK56
Quercus phellos,30TTK94
Quercus robur,30TTK63
Linaria saxatilis,30TTK75
Quercus phellos,30TTK94
Quercus pyrenaica,29SPD55
Pistacia lentiscus,30STJ50
Callitriche brutia,29TPE84
Ononis subspicata,29SNC11
Salvia verbenaca,29SPC97
Typha domingensis,29SQD00
Laccaria tortilis,29SPC72
Cardamine flexuosa,30TTK64
Rosa dumalis,30TUN75
Clinopodium nepeta,29SQC06
Staehelina dubia,29SND02
Corymbia citriodora,30STF95
Isoetes histrix,29SPC98
Aira praecox,30TTK77
Trifolium pratense,30TWN09
Quercus alba,30TTK94
Quercus faginea,30SUF16
Quercus afares,29SMD97
Arisarum simorrhinum,29SPC66
Stellaria alsine,26SLH75
Thymus caespititius,29TQE16
Tolpis azorica,26SLH76
Verbascum thapsus,30TTK55
Alopecurus arundinaceus,30STH73
Pulicaria paludosa,29SQD42
Saxifraga tridactylites,29SQC06
Crepis capillaris,29SNA99
Argyrolobium zanonii,30SWG09
Reseda luteola,29SPD82
Viola canina,29TPE27
Retama sphaerocarpa,29SPD70
Quercus faginea,30TWK78
Digitalis thapsi,30TTK55
Erica tetralix,30STJ98
Quercus rotundifolia,29SQC16
Typha domingensis,29SQD00
Erica australis,29SQD34
Erica azorica,26SLH75
Crucianella maritima,29SQA43
Hypericum perfoliatum,30TTK66
Adenocarpus complicatus,30TVL17
Lemna gibba,30TTK66
Eragrostis barrelieri,29SQD30
Capparis spinosa,29SQC37
Cistus albidus,29SPC97
Quercus diosdadoi,30STK52
Quercus robur,30TTK94
Quercus palustris,30TTK94
Quercus phellos,30TTK94
Achnatherum calamagrostis,30TYN41
Andryala laxiflora,29SPD50
Rumex induratus,29SQC41
Helianthemum origanifolium,30TWL10
Aristida adscensionis,28RBR06
Erica australis,30TTK74
Quercus rotundifolia,30SUH98
Thymus mastichina,30TTK54
Gagea lusitanica,29SPC32
Origanum vulgare,29SQC06
Galium palustre,30TTK66
Salvia verbenaca,30STH42
Antirrhinum linkianum,29SNC20
Rumex acetosella,30TTK64
Atriplex patula,29TPE85
Genista umbellata,30SVF36
Epilobium tetragonum,29TNE39
Dianthus legionensis,30TTK75
Quercus lyrata,30TTK94
Picea pungens,29TPE75
Erica arborea,30TTK75
Leucanthemopsis flaveola,29TQE16
Salix salviifolia,29SND71
Hypericum perfoliatum,29SPC94
Centaurea crocata,29SNB28
Parietaria judaica,30TTK64
Asparagus aphyllus,29SPC93
Coltricia perennis,29SQE30
Linum tenue,29SQD00
Senecio vulgaris,29SPC29
Leontodon tuberosus,29SQC31
Smilax aspera,29SPD20
Tragopogon porrifolius,29SQC26
Salvia verbenaca,29SPD93
Quercus phellos,30TTK94
Saxifraga granulata,30TTK54
Gagea lusitanica,29SQC56
Teucrium fruticans,29SQC31
Cytisus multiflorus,30STJ79
Parietaria mauritanica,29SQC59
Quercus pacensis,29SPC94
Epipactis kleinii,30TYN33
Teucrium oxylepis,29SQC31
Cupressus lusitanica,30STJ84
Cercis siliquastrum,29SPD70
Panicum repens,29SQA43
Jacobaea aquatica,29SQD10
Melica ciliata,29SPD70
Helianthemum apenninum,30SWG19
Allium ampeloprasum,29SQD27
Stellaria media,30TVM00
Anthriscus caucalis,29SQD44
Ophioglossum lusitanicum,29SPC94
Cytisus baeticus,29SQD12
Blechnum spicant,29TQE47
Geranium molle,29SQD01
Asphodelus ramosus,29SQC39
Quercus pyrenaica,30TUN46
Thinopyrum elongatum,29SPD90
Quercus faginea,29SNB36
Calluna vulgaris,26SLH47
Doronicum carpetanum,30TTK66
Crepis vesicaria,30SUH08
Carduus platypus,30TTK66
Globularia alypum,30TWL44
Quercus faginea,29SNE51
Lamium amplexicaule,29SQC44
Epilobium hirsutum,29SQC31
Callitriche stagnalis,30TTK94
Quercus falcata,30TTK94
Trifolium fragiferum,30TTK56
Achnatherum miliaceum,30STJ81
Carlina racemosa,30STH68
Quercus rubra,30TTK94
Daucus carota,30STH68
Serratula tinctoria,30TWN89
Narcissus triandrus,29SQC31
Ranunculus flammula,26SLH85
Fumaria officinalis,29SPC48
Dianthus lusitanus,29TQE06
Centaurea boissieri,30SVG33
Trifolium stellatum,29SPD36
Festuca rothmaleri,30STJ97
Leopoldia comosa,30STH73
Chrysojasminum fruticans,29SPD50
Poa bulbosa,30STJ69
Quercus nigra,30TTK94
Quercus faginea,30STF95
Boletus edulis,29SQE51
Clinopodium nepeta,29SQC06
Euphorbia prostrata,30TXN13
Typha domingensis,29SQD00
Chloris truncata,30TTK54
Centaurea alba,29SQC21
Quercus phellos,30TTK94
Heliotropium europaeum,31SDD57
Thymus zygis,30TWL54
Bromus lanceolatus,29SPD70
Oeosporangium hispanicum,29SQD26
Salvia rosmarinus,29SND38
Euphorbia paralias,30TTP62
Comarum palustre,31TCH32
Prunus cerasifera,29SPD70
Tanacetum microphyllum,29SQC22
Rhaponticoides africana,29SPB91
Erigeron floribundus,29SQD03
Oxalis pes-caprae,29SNB90
Gagea durieui,30SUF55
Narcissus serotinus,29SPD81
Lavandula dentata,29SNC67
Foeniculum vulgare,30TTK75
Urospermum picroides,29SQC07
Echium gaditanum,29SQA43
Odontitella virgata,30STK52
Brachypodium sylvaticum,30STJ97
Silene rubella,29SQC51
Lysimachia linum-stellatum,30TTK65
Euphorbia paniculata,30TTK66
Koeleria crassipes,30TVN16
Typha domingensis,29SQD00
Salvia sclarea,29SPD70
Quercus phellos,30TTK94
Solidago virgaurea,29TNE49
Cistus albidus,30SVF36
Trifolium arvense,29SQD20
Isoetes duriei,29SQC57
Trifolium tomentosum,29SQC36
Fumaria reuteri,29SQC04
Podospermum laciniatum,29SQC26
Geranium rotundifolium,29SQC04
Quercus coccifera,29SPC94
Echinochloa colona,30TTK56
Rubia peregrina,29SMC69
Artemisia verlotiorum,29SPC94
Quercus faginea,30TVM59
Quercus faginea,29SPC94
Quercus faginea,30TWM66
Digitaria sanguinalis,30TTK56
Astragalus cicer,29SNE41
Quercus pubescens,31TCG84
Astrantia major,29TPH96
Helianthus tuberosus,29TPE15
Genista pilosa,30TVN47
Papaver rhoeas,29SQD01
Papaver hybridum,30STH40
Quercus infectoria,29SNC32
Daphne gnidium,30TTM50
Senecio vulgaris,29SND38
Panicum dichotomiflorum,30STJ71
Quercus canariensis,30STF62
Scolymus hispanicus,30TUL81
Arbutus unedo,29SQD03
Platycapnos spicata,29SQC15
Crocus carpetanus,29TPE85
Ortegia hispanica,30TTK54
Ruscus hypophyllum,29SQD03
Corylus avellana,29SQC21
Mirabilis jalapa,29SPD70
Alisma plantago-aquatica,30STJ83
Euphrasia hirtella,30TTK66
Clematis viticella,29SPD81
Silene colorata,29SPC94
Borago officinalis,30SUF76
Adonis annua,29SQC37
Cistus populifolius,29SPD96
Phagnalon saxatile,29SPC03
Silene littorea,29SQA29
Filipendula vulgaris,31TCH03
Sideritis hyssopifolia,31TCH32
Typha domingensis,29SQD00
Scrophularia auriculata,29SQC06
Sporobolus indicus,30TTK66
Juncus pygmaeus,29SPC49
Plantago afra,30STH88
Festuca elegans,30TTK75
Centaurea amblensis,30TUK38
Anacamptis papilionacea,29SQC15
Pilosella officinarum,30STJ76
Vulpia unilateralis,29SQC26
Quercus faginea,29TPG70
Narcissus bulbocodium,29SPC94
Daucus setifolius,30STJ52
Quercus pagoda,30TTK94
Taxodium distichum,29SQC12
Gagea durieui,30SUF47
Salix babylonica,29SPD70
Stipellula capensis,29SQC09
Erigeron uniflorus,31TCH32
Alnus glutinosa,30STJ85
Hypericum undulatum,29TNE49
Anacamptis morio,29SPD80
Vitis vinifera,29SQC35
Lysimachia arvensis,29SPD70
Allium roseum,30STH57
Calendula arvensis,29SQD31
Malva trimestris,29SPB00
Quercus rotundifolia,29SPC94
Sedum album,29SPD78
Ranunculus peltatus,29SPD83
Helictochloa marginata,29SQD27
Aristolochia paucinervis,29SPC72
Jasione crispa,30TTK76
Gratiola officinalis,29SQD25
Salvia aethiopis,30TUK49
Phelipanche ramosa,29SQC31
Paronychia argentea,29SNB30
Quercus faginea,29SMD97
Quercus canariensis,30STF85
Calendula suffruticosa,29SNC06
Saxifraga pentadactylis,30TWM44
Dryopteris caucasica,30TTK94
Cruciata laevipes,30TUN74
Gagea soleirolii,30TTK76
Tubaria pallidispora,29SPC72
Hedera helix,29SNC96
Stipellula parviflora,30SVJ46
Amanita curtipes,29SPC72
Antirrhinum grosii,30TTK66
Euphorbia paniculata,29TQE16
Rumex induratus,30SUJ17
Anthemis cotula,29TPE24
Iberis ciliata,29SQC11
Galega cirujanoi,29SQC06
Taraxacum ekmanii,29SQD27
Herniaria glabra,30TVL11
Centaurea melitensis,29SQC63
Lathyrus clymenum,29SPC93
Gagea durieui,30SUF65
Leontodon longirostris,29SQC43
Narcissus scaberulus,29SPC97
Silene psammitis,30STH33
Ophioglossum lusitanicum,29SNB13
Quercus battandieri,29SPC94
Festuca paniculata,30STJ98
Leontodon tuberosus,29SQC27
Mercurialis annua,29SQC59
Dactylis glomerata,29SNB00
Anacamptis morio,29SPC87
Serapias cordigera,29SNB00
Euphorbia peplus,29SPC93
Euphorbia hirsuta,29SQC04
Quercus texana,30TTK94
Carlina racemosa,29SQD11
Ranunculus ollissiponensis,29SQC51
Dactylis glomerata,29SQB49
Stachys arvensis,29TQE35
Frangula alnus,29TPE85
Arisarum simorrhinum,29SQC16
Bolboschoenus maritimus,29SPB71
Eleocharis palustris,29SQD16
Scolochloa festucacea,29TNE92
Myosotis sicula,29TQE16
Agrostis canina,30TTK75
Centaurea montana,30TXK28
Quercus pubescens,29TPG80
Jasione crispa,29TPE24
Echium tuberculatum,29SQC12
Festuca scariosa,30SVF68
Quercus faginea,29SQC41
Typha domingensis,29SQD00
Ruscus aculeatus,29SPC97
Asphodelus ramosus,29SQD21
Lavandula stoechas,29SPC28
Plantago coronopus,29SQC25
Heliotropium supinum,29SPD70
Lathyrus angulatus,29SNB32
Senecio vulgaris,30SUH08
Asparagus aphyllus,29SPC94
Artemisia campestris,30TUL81
Gagea lusitanica,29SPD35
Scolymus hispanicus,29SQC21
Gagea pratensis,30TTK66
Salix salviifolia,29SQC47
Quercus robur,29SQC41
Salicornia fruticosa,30SXG98
Lonicera implexa,31SEE92
Quercus coccifera,29SPC94
Quercus faginea,30TXK33
Oxybasis urbica,29SQC09
Juncus capitatus,29TPE84
Ruta montana,29SPD70
Dactyloctenium aegyptium,29SQD50
Ulex boivinii,29SND38
Quercus canariensis,29SQC41
Ulex parviflorus,29SNC37
Stipa gigantea,30SUF03
Halimium lasianthum,29TPE75
Antirrhinum graniticum,30STJ97
Centaurea toletana,29SQC31
Teucrium scorodonia,29SQC11
Typha angustifolia,29SPD70
Centaurea toletana,29SQC31
Silybum marianum,29SPD70
Stachys arvensis,29SPC97
Valerianella locusta,30TWN09
Polystichum setiferum,29TPE85
Geranium rotundifolium,29SPD70
Quercus coccifera,29SPD80
Cistus monspeliensis,29SNB90
Quercus michauxii,30TTK94
Viburnum opulus,30TWM11
Quercus robur,30TTK94
Gagea elliptica,30STJ99
Quercus petraea,30TTK94
Quercus suber,29SQC06
Alyssum granatense,29SQC06
Quercus benderi,30TTK94
Galium parisiense,29SQC45
Nectria cinnabarina,29SPC95
Allium sativum,29SQD00
Dipcadi serotinum,29SQC21
Moraea sisyrinchium,29SQC16
Senecio vulgaris,29SNC87
Carex divulsa,29TNE64
Dianthus pungens,30TTK66
Melica ciliata,29SQC11
Orobanche crenata,31TCF26
Thapsia villosa,30STJ98
Hippocrepis ciliata,30TWL68
Brachypodium phoenicoides,30TWM92
Vinca difformis,29TPE85
Quercus lusitanica,29SNC77
Senecio sylvaticus,29TQE06
Juncus bufonius,29SPD74
Dianthus lusitanus,30SUK10
Lepidium heterophyllum,30STJ68
Viola canina,30TTK94
Narcissus triandrus,29SQC31
Narcissus bulbocodium,30STJ85
Quercus phellos,30TTK94
Quercus phellos,30TTK94
Quercus riparia,30TTK94
Quercus lusitanica,29SNC47
Cynodon dactylon,30TTL73
Scrophularia canina,29SPD77
Salvia verbenaca,29SPC94
Cistus populifolius,29SPC94
Iris planifolia,29SQD00
Quercus nigra,30TTK94
Cyperus longus,29SQD00
Corylus avellana,30TTK66
Scolymus hispanicus,29SPB51
Mentha longifolia,30TYN23
Senecio vulgaris,30STJ75
Ononis diffusa,29SPD89
Erodium botrys,29SQC04
Corrigiola litoralis,29SQD11
Samolus valerandi,29SQC16
Adenocarpus desertorum,29SQD16
Anthyllis vulneraria,30SWG19
Erica tetralix,30TTK75
Sedum album,29SQC25
Sparganium erectum,29SPD50
Quercus faginea,30SUJ43
Asplenium obovatum,30STK60
Quercus michauxii,30TTK94
Quercus palustris,30TTK94
Quercus muehlenbergii,30TTK94
Quercus falcata,30TTK94
Cyperus alternifolius,29SPD70
Quercus coccinea,30TTK94
Senecio lividus,29SPD61
Umbilicus heylandianus,29TQE46
Pittosporum tobira,29SPD70
Allium sativum,29SQD00
Polypodium cambricum,29SQC57
Quercus palustris,30TTK94
Erythranthe moschata,30TTK66
Quercus palustris,30TTK94
Anchusa calcarea,29SNC23
Dactylorhiza maculata,30TTK66
Teucrium polium,31TCF29
Plantago lagopus,29SPC97
